Rk,Team,W,L,Pace
,,,,
1,Oklahoma City Thunder*,60,22,93.3
2,Miami Heat*,66,16,90.7
3,San Antonio Spurs*,58,24,94.2
4,Los Angeles Clippers*,56,26,91.1
5,Denver Nuggets*,57,25,95.1
6,Memphis Grizzlies*,56,26,88.4
7,New York Knicks*,54,28,89.8
8,Houston Rockets*,45,37,96.1
9,Indiana Pacers*,49,32,90.2
10,Los Angeles Lakers*,45,37,94.4
11,Golden State Warriors*,47,35,94.5
12,Brooklyn Nets*,49,33,88.8
13,Utah Jazz,43,39,90.9
14,Chicago Bulls*,45,37,89.3
15,Atlanta Hawks*,44,38,92.6
16,Dallas Mavericks,41,41,94.1
17,Boston Celtics*,41,40,91.7
18,Milwaukee Bucks*,38,44,94.7
19,Minnesota Timberwolves,31,51,92.8
20,Toronto Raptors,34,48,90.4
21,Portland Trail Blazers,33,49,91.4
22,Washington Wizards,29,53,92.2
23,New Orleans Hornets,27,55,88.5
24,Philadelphia 76ers,34,48,91.0
25,Sacramento Kings,28,54,93.6
26,Detroit Pistons,29,53,90.8
27,Cleveland Cavaliers,24,58,92.3
28,Phoenix Suns,25,57,93.4
29,Orlando Magic,20,62,92.2
30,Charlotte Bobcats,21,61,91.5
